cruise_line,cruise_ship,date,score
Princess Cruises,Dawn Princess,2/3/1990,87
"Carnival Cruise Lines, Inc.",Carnival Fantasy,3/19/1990,78
Seabourn Cruise Line,Seabourn Spirit,3/6/1990,94
"Carnival Cruise Lines, Inc.",Carnival Fantasy,4/30/1990,100
V. Ships Leisure U.S.A.,MV Yorktown,7/5/1990,60
"Carnival Cruise Lines, Inc.",Carnival Fantasy,8/24/1990,88
V. Ships Leisure U.S.A.,MV Yorktown,8/28/1990,92
Seabourn Cruise Line,Seabourn Spirit,10/31/1990,94
"Carnival Cruise Lines, Inc.",Carnival Fantasy,1/18/1991,95
Seabourn Cruise Line,Seabourn Pride,10/6/1991,92
Seabourn Cruise Line,Seabourn Spirit,10/17/1991,97
Royal Caribbean International,Monarch Of The Seas,12/8/1991,87
Seabourn Cruise Line,Seabourn Spirit,1/22/1992,93
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,3/29/1992,94
V. Ships Leisure U.S.A.,MV Yorktown,3/26/1992,92
Seabourn Cruise Line,Seabourn Spirit,3/10/1992,92
"Carnival Cruise Lines, Inc.",Carnival Fantasy,4/17/1992,93
Royal Caribbean International,Monarch Of The Seas,4/25/1992,92
Seabourn Cruise Line,Seabourn Pride,4/4/1992,99
Royal Caribbean International,Majesty Of The Seas,5/10/1992,89
Lindblad Expeditions,Sea Bird,6/14/1992,87
Lindblad Expeditions,Sea Lion,6/14/1992,96
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,7/2/1992,96
Lindblad Expeditions,Sea Bird,8/9/1992,95
Lindblad Expeditions,Sea Lion,8/9/1992,93
"Carnival Cruise Lines, Inc.",Carnival Fantasy,10/23/1992,89
Royal Caribbean International,Monarch Of The Seas,10/25/1992,96
Royal Caribbean International,Majesty Of The Seas,12/20/1992,97
"Carnival Cruise Lines, Inc.",Carnival Fantasy,2/19/1993,86
Royal Caribbean International,Monarch Of The Seas,2/14/1993,93
Holland America Line,Statendam,2/10/1993,84
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,3/25/1993,87
Seabourn Cruise Line,Seabourn Pride,3/10/1993,89
Holland America Line,Statendam,3/23/1993,83
Royal Caribbean International,Majesty Of The Seas,5/23/1993,95
Lindblad Expeditions,Sea Bird,5/24/1993,91
Seabourn Cruise Line,Seabourn Pride,5/1/1993,91
Holland America Line,Statendam,5/2/1993,86
Lindblad Expeditions,Sea Lion,6/13/1993,93
V. Ships Leisure U.S.A.,MV Yorktown,7/10/1993,90
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,8/29/1993,99
"Carnival Cruise Lines, Inc.",Carnival Fantasy,8/27/1993,91
Lindblad Expeditions,Sea Bird,8/10/1993,79
Lindblad Expeditions,Sea Lion,8/13/1993,92
Hapag Lloyd Kreuzfahrten Gmbh,Hanseatic,10/31/1993,98
Lindblad Expeditions,Sea Bird,10/2/1993,94
Royal Caribbean International,Majesty Of The Seas,11/21/1993,96
Royal Caribbean International,Monarch Of The Seas,11/6/1993,92
Holland America Line,Statendam,11/11/1993,88
"Carnival Cruise Lines, Inc.",Carnival Sensation,12/16/1993,95
Holland America Line,Maasdam,12/17/1993,94
Seabourn Cruise Line,Seabourn Pride,1/27/1994,93
Royal Caribbean International,Monarch Of The Seas,2/19/1994,97
"Carnival Cruise Lines, Inc.",Carnival Sensation,3/24/1994,88
Holland America Line,Maasdam,4/3/1994,81
Holland America Line,Maasdam,5/9/1994,96
Royal Caribbean International,Majesty Of The Seas,5/8/1994,96
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,6/10/1994,83
"Carnival Cruise Lines, Inc.",Carnival Fantasy,6/16/1994,84
Royal Caribbean International,Monarch Of The Seas,7/23/1994,93
V. Ships Leisure U.S.A.,MV Yorktown,7/9/1994,84
Lindblad Expeditions,Sea Bird,7/6/1994,95
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,8/29/1994,94
"Carnival Cruise Lines, Inc.",Carnival Fantasy,8/25/1994,94
"Carnival Cruise Lines, Inc.",Carnival Fascination,8/12/1994,90
V. Ships Leisure U.S.A.,MV Yorktown,8/30/1994,93
Lindblad Expeditions,Sea Lion,8/31/1994,94
Silversea Cruises Ltd,Silver Cloud,9/20/1994,98
Hapag Lloyd Kreuzfahrten Gmbh,Hanseatic,10/20/1994,96
Royal Caribbean International,Majesty Of The Seas,10/9/1994,98
Holland America Line,Ryndam,10/23/1994,92
Seabourn Cruise Line,Seabourn Pride,10/24/1994,96
"Carnival Cruise Lines, Inc.",Carnival Sensation,11/13/1994,93
Holland America Line,Statendam,12/5/1994,93
"Carnival Cruise Lines, Inc.",Carnival Sensation,1/11/1995,85
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,2/3/1995,91
"Carnival Cruise Lines, Inc.",Carnival Sensation,2/5/1995,94
Holland America Line,Maasdam,2/15/1995,97
Royal Caribbean International,Monarch Of The Seas,2/18/1995,96
Holland America Line,Ryndam,2/19/1995,91
Seabourn Cruise Line,Seabourn Pride,2/19/1995,74
Silversea Cruises Ltd,Silver Cloud,2/3/1995,97
Holland America Line,Statendam,2/14/1995,93
Royal Caribbean International,Majesty Of The Seas,3/19/1995,96
Seabourn Cruise Line,Seabourn Pride,3/21/1995,94
"Carnival Cruise Lines, Inc.",Carnival Fantasy,5/18/1995,91
"Carnival Cruise Lines, Inc.",Carnival Fascination,5/14/1995,95
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,6/30/1995,87
"Crystal Cruises , Inc.",Crystal Symphony,6/15/1995,95
Royal Caribbean International,Legend Of The Seas,6/16/1995,98
"Mitsui O.S.K. Passenger Line, Ltd",Nippon Maru,6/9/1995,48
Lindblad Expeditions,Sea Bird,6/17/1995,93
"Carnival Cruise Lines, Inc.",Carnival Imagination,7/8/1995,95
"Carnival Cruise Lines, Inc.",Carnival Sensation,7/9/1995,90
V. Ships Leisure U.S.A.,MV Yorktown,7/8/1995,93
Lindblad Expeditions,Sea Lion,7/9/1995,95
Royal Caribbean International,Majesty Of The Seas,8/27/1995,98
Seabourn Cruise Line,Seabourn Spirit,9/29/1995,94
Hapag Lloyd Kreuzfahrten Gmbh,Bremen,10/31/1995,90
"Carnival Cruise Lines, Inc.",Carnival Fascination,10/28/1995,96
Hapag Lloyd Kreuzfahrten Gmbh,Hanseatic,10/8/1995,94
Royal Caribbean International,Monarch Of The Seas,10/8/1995,99
V. Ships Leisure U.S.A.,MV Yorktown,10/25/1995,96
Holland America Line,Ryndam,10/21/1995,89
